Équipe,# JC,Âge,Poss,Temps de jeu MJ,Temps de jeu Titulaire,Temps de jeu Min,Temps de jeu 90,Performance Buts,Performance PD,Performance B-PénM,Performance PénM,Performance PénT,Performance CJ,Performance CR,Par 90 minutes Buts,Par 90 minutes PD,Par 90 minutes B+PD,Par 90 minutes B-PénM,Par 90 minutes B+PD-PénM,Attendu xG,Attendu npxG,Attendu xA,Attendu npxG+xA,Par 90 minutes xG,Par 90 minutes xA,Par 90 minutes xG+xA,Par 90 minutes npxG,Par 90 minutes npxG+xA,# JCshooting,90,Standard Buts,Standard Tirs,Standard TC,Standard TC%,Standard Tir/90,Standard TC/90,Standard B/Tir,Standard B/TC,Standard Dist,Standard CF,Standard PénM,Standard PénT,Attendu xGshooting,Attendu npxGshooting,Attendu npxG/Sh,Attendu G-xG,Attendu np:G-xG,# JCpassing,90passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total DistBut,Court Cmp,Court Att,Court Cmp%,Moyen Cmp,Moyen Att,Moyen Cmp%,Long Cmp,Long Att,Long Cmp%,PD,xA,A-xA,PC,1/3,PPA,CntSR,Prog,# JCdefense,90defense,Tacles Tcl,Tacles TclR,Tacles ZDéf,Tacles MilTer,Tacles ZOff,Vs Dribbles Tcl,Vs Dribbles Tenté,Vs Dribbles Tcl%,Vs Dribbles Passé,Pressions Press,Pressions Réussi,Pressions %,Pressions ZDéf,Pressions MilTer,Pressions ZOff,Balles contrées Balles contrées,Balles contrées Tirs,Balles contrées TirBl,Balles contrées Passe,Int,Tcl+Int,Dég,Err,# JCpassing_types,90passing_types,Att,Types de passe Action de jeu,Types de passe Coup de pied arrêté,Types de passe CF,Types de passe Tr,Types de passe Press,Types de passe Tr.1,Types de passe Ctr,Types de passe Co,Corners Rentrant,Corners Sortant,Corners Droit,Taille Sol,Taille Basse,Taille Haute,Parties du corps Gauche,Parties du corps Droit,Parties du corps Tête,Parties du corps PCF,Parties du corps Autre,Résultats Cmp,Résultats HJ,Résultats Hors limites,Résultats Int,Résultats Balles contrées
Ajaccio,24,29.1,45.9,9,99,810,9.0,5,2,4,1,2,30,2,0.56,0.22,0.78,0.44,0.67,8.8,7.2,5.3,12.5,0.97,0.59,1.56,0.8,1.39,24,9.0,5,98,21,21.4,10.89,2.33,0.04,0.19,17.3,3,1,2,8.8,7.2,0.08,-3.8,-3.2,24,9.0,2837,3809,74.5,54171,19739,1227,1430,85.8,1104,1363,81.0,435,834,52.2,2,5.3,-3.3,76,232,55,19,257,24,9.0,147,95,72,56,19,49,136,36.0,87,1252,380,30.4,340,634,278,100,18,0,82,123,270,164,2,24,9.0,3809,3359,450,118,4,462,91,112,37,17,19,1,2290,517,1002,1057,2173,184,219,40,2837,13,105,93,111
Angers,25,26.4,49.6,9,99,810,9.0,9,5,7,2,2,19,3,1.0,0.56,1.56,0.78,1.33,12.8,11.3,7.6,18.8,1.43,0.84,2.27,1.25,2.09,25,9.0,9,101,31,30.7,11.22,3.44,0.07,0.23,16.6,8,2,2,12.8,11.3,0.12,-3.8,-4.3,25,9.0,3449,4237,81.4,64223,22361,1450,1656,87.6,1476,1695,87.1,429,704,60.9,5,7.6,-2.6,72,260,58,15,299,25,9.0,144,84,68,62,14,49,131,37.4,82,1172,348,29.7,337,520,315,129,20,1,109,108,252,138,2,25,9.0,4237,3801,436,110,10,532,96,89,32,23,2,1,3080,483,674,1168,2560,156,186,71,3449,11,83,132,78
Auxerre,23,28.7,44.4,9,99,810,9.0,8,5,6,2,2,19,4,0.89,0.56,1.44,0.67,1.22,9.5,7.9,6.5,14.4,1.05,0.73,1.78,0.88,1.6,23,9.0,8,82,24,29.3,9.11,2.67,0.07,0.25,19.1,3,2,2,9.5,7.9,0.1,-1.5,-1.9,23,9.0,3340,4115,81.2,69541,22238,1288,1434,89.8,1358,1549,87.7,629,981,64.1,5,6.5,-1.5,62,234,57,15,245,23,9.0,152,78,82,48,22,58,148,39.2,90,1176,304,25.9,423,491,262,114,33,2,81,133,285,200,1,23,9.0,4115,3720,395,117,4,496,183,102,27,6,15,0,2713,480,922,963,2707,156,156,46,3340,12,73,104,79
Brest,22,27.2,47.9,9,99,810,9.0,9,4,8,1,2,16,1,1.0,0.44,1.44,0.89,1.33,8.7,7.1,5.7,12.8,0.97,0.63,1.6,0.79,1.42,22,9.0,9,81,27,33.3,9.0,3.0,0.1,0.3,16.4,1,1,2,8.7,7.1,0.09,0.3,0.9,22,9.0,3315,4206,78.8,68528,22618,1281,1461,87.7,1396,1619,86.2,591,974,60.7,4,5.7,-1.7,62,267,56,25,261,22,9.0,157,100,71,70,16,57,141,40.4,84,1343,403,30.0,415,651,277,105,19,0,86,145,302,152,1,22,9.0,4206,3747,459,128,5,452,185,135,48,22,18,3,2713,526,967,837,2829,174,198,49,3315,16,70,113,103
Clermont Foot,23,27.8,49.3,9,99,810,9.0,12,8,11,1,1,20,1,1.33,0.89,2.22,1.22,2.11,8.0,7.2,4.4,11.6,0.88,0.49,1.38,0.8,1.29,23,9.0,12,79,21,26.6,8.78,2.33,0.14,0.52,17.0,2,1,1,8.0,7.2,0.09,4.0,3.8,23,9.0,3507,4324,81.1,67211,22357,1519,1697,89.5,1436,1650,87.0,489,821,59.6,8,4.4,3.6,52,210,49,13,235,23,9.0,166,95,81,59,26,64,155,41.3,91,1055,317,30.0,383,411,261,145,37,2,108,146,312,147,2,23,9.0,4324,3917,407,147,2,462,109,86,32,17,9,1,3132,400,792,1148,2736,113,138,76,3507,12,67,134,106
Lens,23,26.2,58.6,9,99,810,9.0,17,13,15,2,3,12,1,1.89,1.44,3.33,1.67,3.11,17.4,15.1,11.2,26.3,1.93,1.24,3.17,1.68,2.92,23,9.0,17,134,40,29.9,14.89,4.44,0.11,0.38,15.4,2,2,3,17.4,15.1,0.12,-0.4,-0.1,23,9.0,4496,5221,86.1,83349,25799,1929,2094,92.1,1966,2201,89.3,538,796,67.6,13,11.2,1.8,100,288,99,22,361,23,9.0,131,78,63,47,21,42,132,31.8,90,1009,283,28.0,296,456,257,105,26,0,79,131,262,134,1,23,9.0,5221,4835,386,123,12,506,106,126,51,19,21,2,4062,451,708,1556,3232,139,148,54,4496,7,56,140,70
Lille,23,27.1,58.9,9,99,810,9.0,17,12,17,0,1,21,0,1.89,1.33,3.22,1.89,3.22,14.5,13.7,10.8,24.6,1.61,1.2,2.82,1.52,2.73,23,9.0,17,135,48,35.6,15.0,5.33,0.13,0.35,16.1,3,0,1,14.5,13.7,0.11,2.5,3.3,23,9.0,4405,5230,84.2,78082,25311,2024,2261,89.5,1812,2031,89.2,465,723,64.3,12,10.8,1.2,98,345,107,17,375,23,9.0,149,99,68,54,27,51,136,37.5,85,1069,354,33.1,293,483,293,129,33,1,96,105,254,154,2,23,9.0,5230,4787,443,136,7,644,101,127,56,21,19,0,3965,518,747,1322,3421,156,177,64,4405,12,67,127,111
Lorient,22,25.7,40.9,9,99,810,9.0,17,11,15,2,3,14,1,1.89,1.22,3.11,1.67,2.89,13.9,11.6,9.3,20.9,1.55,1.03,2.58,1.28,2.32,22,9.0,17,103,41,39.8,11.44,4.56,0.15,0.37,17.4,8,2,3,13.9,11.6,0.12,3.1,3.4,22,9.0,2963,3671,80.7,55731,20611,1234,1374,89.8,1308,1503,87.0,363,665,54.6,11,9.3,1.7,76,181,47,7,219,22,9.0,196,121,133,48,15,71,162,43.8,91,1202,332,27.6,562,457,183,139,38,0,101,122,318,222,1,22,9.0,3671,3267,404,124,8,492,61,64,26,9,8,4,2607,381,683,940,2344,97,149,49,2963,9,57,101,60
Lyon,23,26.2,60.4,9,99,810,9.0,16,10,15,1,1,11,1,1.78,1.11,2.89,1.67,2.78,14.9,14.2,9.4,23.5,1.66,1.04,2.7,1.57,2.61,23,9.0,16,131,50,38.2,14.56,5.56,0.11,0.3,16.3,3,1,1,14.9,14.2,0.11,1.1,0.8,23,9.0,4797,5634,85.1,85983,26187,2148,2350,91.4,2056,2284,90.0,502,804,62.4,10,9.4,0.6,95,385,102,22,374,23,9.0,193,127,70,79,44,76,177,42.9,101,1239,406,32.8,330,563,346,102,28,1,74,130,323,127,1,23,9.0,5634,5228,406,107,11,601,111,120,55,15,16,9,4443,465,726,1837,3347,135,169,69,4797,9,59,165,98
Marseille,25,27.3,55.6,9,99,810,9.0,17,13,17,0,1,22,1,1.89,1.44,3.33,1.89,3.33,13.7,12.9,9.2,22.1,1.52,1.02,2.54,1.43,2.45,25,9.0,17,130,48,36.9,14.44,5.33,0.13,0.35,15.7,1,0,1,13.7,12.9,0.1,3.3,4.1,25,9.0,3876,4726,82.0,72191,23433,1612,1823,88.4,1724,1965,87.7,455,747,60.9,13,9.2,3.8,94,284,85,21,333,25,9.0,187,112,78,86,23,59,128,46.1,69,1222,377,30.9,357,568,297,115,26,0,89,134,321,183,1,25,9.0,4726,4302,424,98,6,513,113,113,49,14,19,1,3420,521,785,1304,2930,144,189,66,3876,10,67,161,101
